zone,index,page,category,confidence,rationale
Zone 5B,1,77,Against proposed Zoning Changes,high,explicitly disagrees with changes
Zone 5B,2,77,Against proposed Zoning Changes,medium,conditional on more parking
Zone 5B,3,77,Neutral,medium,asks about building impacts
Zone 5B,4,77,Against proposed Zoning Changes,high,opposes changes over parking
Zone 5B,5,77,Against proposed Zoning Changes,high,opposes new development
Zone 5B,6,77,Against proposed Zoning Changes,high,not in favor
Zone 5B,7,77,Against proposed Zoning Changes,high,rejects parking reduction and density
Zone 5B,8,77,In Favor of proposed Zoning Changes,high,supports more housing and business
Zone 5B,9,77,In Favor of proposed Zoning Changes,high,approves proposal
Zone 5B,10,77,In Favor of proposed Zoning Changes,high,agrees with proposal
Zone 5B,11,77,Against proposed Zoning Changes,high,opposes taller buildings
Zone 5B,12,77,Against proposed Zoning Changes,high,rejects high rises
Zone 5B,13,77,Against proposed Zoning Changes,medium,wants park preserved
Zone 5B,14,77,In Favor of proposed Zoning Changes,high,supports with affordability caveat
Zone 5B,15,77,Against proposed Zoning Changes,high,explicitly rejects proposal
Zone 5B,16,77,In Favor of proposed Zoning Changes,medium,supports higher building here
Zone 5B,17,77,Against proposed Zoning Changes,high,warns against added density
Zone 5B,18,78,Against proposed Zoning Changes,high,questions apartments and parking
Zone 5B,19,78,Against proposed Zoning Changes,high,rejects more building and density
Zone 5B,20,78,Against proposed Zoning Changes,high,explicitly opposes zoning changes
Zone 5B,21,78,Against proposed Zoning Changes,medium,rejects limited parking provisions
Zone 5B,22,78,Against proposed Zoning Changes,high,opposes apartments and added people
Zone 5B,23,78,Neutral,high,not sure
Zone 5B,24,78,In Favor of proposed Zoning Changes,medium,says fine there
Zone 5B,25,78,Against proposed Zoning Changes,medium,concerned about congestion
Zone 5B,26,78,Against proposed Zoning Changes,medium,views proposal as harmful
Zone 5B,27,78,In Favor of proposed Zoning Changes,high,supports with sidewalk caveat
Zone 5B,28,78,Against proposed Zoning Changes,high,not supportive
Zone 5B,29,78,Neutral,medium,no clear stance on Montgomery
Zone 5B,30,78,Against proposed Zoning Changes,high,calls it terrible with parking harm
Zone 5B,31,78,Against proposed Zoning Changes,high,disagrees with all changes
Zone 5B,32,79,Neutral,medium,asks for negatives
Zone 5B,33,79,Against proposed Zoning Changes,medium,hostile to proposal
Zone 5B,34,79,Against proposed Zoning Changes,high,wants park without development
Zone 5B,35,79,Against proposed Zoning Changes,high,against due parking pressure
Zone 5B,36,79,Against proposed Zoning Changes,high,rejects height and parking changes
Zone 5B,37,79,In Favor of proposed Zoning Changes,low,somewhat okay with reservations
Zone 5B,38,79,Against proposed Zoning Changes,high,opposes reduced parking
Zone 5B,39,79,In Favor of proposed Zoning Changes,high,fine with plan
Zone 5B,40,79,Against proposed Zoning Changes,high,rejects reduced parking
Zone 5B,41,79,In Favor of proposed Zoning Changes,high,supports height and less parking
Zone 5B,42,79,In Favor of proposed Zoning Changes,high,loves it
Zone 5B,43,79,In Favor of proposed Zoning Changes,high,positive response
Zone 5B,44,79,Against proposed Zoning Changes,medium,calls idea terrible
Zone 5B,45,79,Against proposed Zoning Changes,high,strongly against
Zone 5B,46,79,Against proposed Zoning Changes,medium,criticizes drafters
Zone 5B,47,79,Against proposed Zoning Changes,high,limits floors below proposal
Zone 5B,48,79,Against proposed Zoning Changes,high,rejects density height and parking
Zone 5B,49,79,Against proposed Zoning Changes,high,rejects high rise
Zone 5B,50,79,Against proposed Zoning Changes,high,dislikes revenue driven change
Zone 5B,51,79,Against proposed Zoning Changes,high,calls proposal terrible
Zone 5B,52,79,Against proposed Zoning Changes,high,rejects parking and height bonus
Zone 5B,53,79,Against proposed Zoning Changes,medium,rejects additional stories
Zone 5B,54,79,Against proposed Zoning Changes,high,disapproves all zoning changes
Zone 5B,55,79,Against proposed Zoning Changes,high,says no good
Zone 5B,56,79,Against proposed Zoning Changes,high,rejects parking reduction and height
Zone 5B,57,79,Against proposed Zoning Changes,high,against it
Zone 5B,58,79,Against proposed Zoning Changes,medium,says ignores resident wishes
Zone 5B,59,79,Against proposed Zoning Changes,high,prefers no growth due traffic
Zone 5B,60,80,Against proposed Zoning Changes,high,says destroying Narberth
Zone 5B,61,80,Against proposed Zoning Changes,high,rejects height increase
Zone 5B,62,80,Against proposed Zoning Changes,high,opposes stories and parking change
Zone 5B,63,80,Against proposed Zoning Changes,medium,frames as developer driven
Zone 5B,64,80,In Favor of proposed Zoning Changes,medium,supports reduced parking
Zone 5B,65,80,Against proposed Zoning Changes,high,asks rejection
Zone 5B,66,80,In Favor of proposed Zoning Changes,high,supports changes with caveats
Zone 5B,67,80,Neutral,medium,no substantive stance
Zone 5B,68,80,Against proposed Zoning Changes,high,opposes reduced parking
Zone 5B,69,80,In Favor of proposed Zoning Changes,medium,says reasonable
Zone 5B,70,80,Against proposed Zoning Changes,high,rejects reduced parking
Zone 5B,71,80,In Favor of proposed Zoning Changes,high,supports less parking
